0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:39:23 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:39:31 -0500] "GET /reverselogic/cliente.jsp HTTP/1.1" 404 676
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:40:43 -0500] "GET /reverselogic/VentaEmple?enviar=ventaEmple HTTP/1.1" 200 2821
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:40:43 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:40:48 -0500] "GET /reverselogic/VentaEmple?enviar=RegistrarVenta HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:40:48 -0500] "GET /reverselogic/css/registrarEmple.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:04 -0500] "GET /reverselogic/ProductoEmple?enviar=productoEmple HTTP/1.1" 200 2920
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:04 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:09 -0500] "GET /reverselogic/ProductoEmple?enviar=RegistrarProductos HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:22 -0500] "GET /reverselogic/index.jsp HTTP/1.1" 200 7359
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:22 -0500] "GET /reverselogic/css/Menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:22 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:22 -0500] "GET /reverselogic/img/usuario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:22 -0500] "GET /reverselogic/img/detallitos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:22 -0500] "GET /reverselogic/img/empleado.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:59 -0500] "GET /reverselogic/PrendasEmple?enviar=prendasEmple HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:41:59 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:03 -0500] "GET /reverselogic/PrendasEmple?enviar=RegistrarPrenda HTTP/1.1" 200 3176
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:03 -0500] "GET /reverselogic/css/registrarPrenda.css HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "POST /reverselogic/Usuario HTTP/1.1" 200 7359
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/usuario-de-perfil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/cliente.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/instagram%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/fondoMenu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/prenda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/imgVenta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/devolucion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:36 -0500] "GET /reverselogic/img/Producto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:40 -0500] "GET /reverselogic/Empleado?enviar=empleado HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:41 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:41 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:41 -0500] "GET /reverselogic/img/consultarUsu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:41 -0500] "GET /reverselogic/img/registrarUsu.avif HTTP/1.1" 304 -
